tick.eia,tick.r,product,category,sd_category
PET.WDIUPUS2.W,eia.mdist.demand,product,demand,dist
PET.WGFUPUS2.W,eia.mogas.demand,product,demand,mogas
PET.WKJUPUS2.W,eia.jet.demand,product,demand,jet
PET.WREUPUS2.W,eia.resid.demand,product,demand,resid
PET.WPRUP_NUS_2.W,eia.propane.propylene.demand,product,demand,propanepropylene
PET.WRPUPUS2.W,eia.products.demand,product,demand,products
PET.MCREXUS2.M,eia.crude.exports.us,crude,exports,crude
PET.MBCEXUS2.M,eia.mogas.exports.components,mogas,exports,
PET.MGFEXUS2.M,eia.mogas.exports.finished,mogas,exports,
PET.MTPEXUS2.M,eia.products.exports.finished,products,exports,
PET.MDIEXUS2.M,eia.ulsd.exports.all,ulsd,exports,
PET.MDIEXUS2.M,eia.ulsd.exports.brazil,ulsd,exports,
PET.MDIEXCI2.M,eia.ulsd.exports.chile,ulsd,exports,
PET.MDIEXCO2.M,eia.ulsd.exports.columbia,ulsd,exports,
PET.MDIEXFR2.M,eia.ulsd.exports.france,ulsd,exports,
PET.M_EPD0_EEX_NUS-NGI_2.M,eia.ulsd.exports.gibraltar,ulsd,exports,
PET.MDIEXMX2.M,eia.ulsd.exports.mexico,ulsd,exports,
PET.MDIEXNL2.M,eia.ulsd.exports.netherlands,ulsd,exports,
PET.MDIEXPM2.M,eia.ulsd.exports.panama,ulsd,exports,
PET.MDIEXPE2.M,eia.ulsd.exports.peru,ulsd,exports,
PET.MCRIMUSAO2.M,eia.crude.imports.angola,crude,imports,
PET.MCRIMUSCA2.M,eia.crude.imports.canada,crude,imports,
PET.MCRIMUSSA2.M,eia.crude.imports.saudiarabia,crude,imports,
PET.MCRIMUSMX2.M,eia.crude.imports.mexico,crude,imports,
PET.MCRIMUSNI2.M,eia.crude.imports.nigeria,crude,imports,
PET.MCRIPP12.M,eia.crude.imports.P1,crude,imports,
PET.MCRIPP22.M,eia.crude.imports.P2,crude,imports,
PET.MCRIPP32.M,eia.crude.imports.P3,crude,imports,
PET.MCRIPP42.M,eia.crude.imports.P4,crude,imports,
PET.MCRIPP52.M,eia.crude.imports.P5,crude,imports,
PET.MCRIMUS2.M,eia.crude.imports.us,crude,imports,crude
PET.WDIIMUS2.W,eia.mdist.imports,product,imports,dist
PET.WGTIMUS2.W,eia.mogas.imports,product,imports,mogas
PET.WKJIMUS2.W,eia.jet.imports,product,imports,jet
PET.WREIMUS2.W,eia.resid.imports,product,imports,resid
PET.WPRIM_NUS-Z00_2.W,eia.propane.propylene.imports,product,imports,propanepropylene
PET.WCRRIP12.W,eia.refinery.inputs.P1,refinery,inputs,
PET.WCRRIP22.W,eia.refinery.inputs.P2,refinery,inputs,
PET.WCRRIP32.W,eia.refinery.inputs.P3,refinery,inputs,
PET.WCRRIP42.W,eia.refinery.inputs.P4,refinery,inputs,
PET.WCRRIP52.W,eia.refinery.inputs.P5,refinery,inputs,
PET.WCRRIUS2.W,eia.refinery.inputs.us,refinery,inputs,
PET.EMD_EPD2D_PTE_R10_DPG.W,eia.doediesel.prices.P1,doediesel,prices,
PET.EMD_EPD2D_PTE_R20_DPG.W,eia.doediesel.prices.P2,doediesel,prices,
PET.EMD_EPD2D_PTE_R30_DPG.W,eia.doediesel.prices.P3,doediesel,prices,
PET.EMD_EPD2D_PTE_R40_DPG.W,eia.doediesel.prices.P4,doediesel,prices,
PET.EMD_EPD2D_PTE_R50_DPG.W,eia.doediesel.prices.P5,doediesel,prices,
PET.EMD_EPD2D_PTE_NUS_DPG.W,eia.doediesel.prices.us,doediesel,prices,
PET.EMM_EPM0_PTE_R10_DPG.W,eia.ulsd.prices.P1,ulsd,prices,
PET.EMM_EPM0_PTE_R20_DPG.W,eia.ulsd.prices.P2,ulsd,prices,
PET.EMM_EPM0_PTE_R30_DPG.W,eia.ulsd.prices.P3,ulsd,prices,
PET.EMM_EPM0_PTE_R40_DPG.W,eia.ulsd.prices.P4,ulsd,prices,
PET.EMM_EPM0_PTE_R50_DPG.W,eia.ulsd.prices.P5,ulsd,prices,
PET.EMM_EPM0_PTE_NUS_DPG.W,eia.ulsd.prices.us,ulsd,prices,
PET.E_ERTRRO_XR0_NUS_C.M,eia.crude.production.rigcount,crude,production,
PET.MCRFPP12.M,eia.crude.production.P1,crude,production,
PET.MCRFPP22.M,eia.crude.production.P2,crude,production,
PET.MCRFPP32.M,eia.crude.production.P3,crude,production,
PET.MCRFPP42.M,eia.crude.production.P4,crude,production,
PET.MCRFPP52.M,eia.crude.production.P5,crude,production,
PET.MCRFPUS2.M,eia.crude.production.us,crude,production,crude
PET.WGIRIP12.W,eia.refinery.runs.P1,refinery,runs,
PET.WGIRIP22.W,eia.refinery.runs.P2,refinery,runs,
PET.WGIRIP32.W,eia.refinery.runs.P3,refinery,runs,
PET.WGIRIP42.W,eia.refinery.runs.P4,refinery,runs,
PET.WGIRIP52.W,eia.refinery.runs.P5,refinery,runs,
PET.WGIRIUS2.W,eia.refinery.runs.us,refinery,runs,
PET.W_EPC0_SAX_YCUOK_MBBL.W,eia.crude.stocks.cushing,crude,stocks,
PET.WCESTP11.W,eia.crude.stocks.P1,crude,stocks,
PET.WCESTP21.W,eia.crude.stocks.P2,crude,stocks,
PET.WCESTP31.W,eia.crude.stocks.P3,crude,stocks,
PET.WCESTP41.W,eia.crude.stocks.P4,crude,stocks,
PET.WCESTP51.W,eia.crude.stocks.P5,crude,stocks,
PET.WCESTUS1.W,eia.crude.stocks.us,crude,stocks,crude
PET.W_EPC0_VSD_NUS_DAYS.W,eia.crude.stocks.us.dayssupply,crude,stocks,
PET.W_EPOOXE_SAE_R10_MBBL.W,eia.ethanol.fuel.stocks.P1,ethanol.fuel,stocks,
PET.W_EPOOXE_SAE_R20_MBBL.W,eia.ethanol.fuel.stocks.P2,ethanol.fuel,stocks,
PET.W_EPOOXE_SAE_R30_MBBL.W,eia.ethanol.fuel.stocks.P3,ethanol.fuel,stocks,
PET.W_EPOOXE_SAE_R40_MBBL.W,eia.ethanol.fuel.stocks.P4,ethanol.fuel,stocks,
PET.W_EPOOXE_SAE_R50_MBBL.W,eia.ethanol.fuel.stocks.P5,ethanol.fuel,stocks,
PET.W_EPOOXE_SAE_NUS_MBBL.W,eia.ethanol.fuel.stocks.us,ethanol.fuel,stocks,
PET.WDISTP11.W,eia.mdist.stocks.P1,mdist,stocks,
PET.WDIST1A1.W,eia.mdist.stocks.P1a,mdist,stocks,
PET.WDIST1B1.W,eia.mdist.stocks.P1b,mdist,stocks,
PET.WDIST1C1.W,eia.mdist.stocks.P1c,mdist,stocks,
PET.WDISTP21.W,eia.mdist.stocks.P2,mdist,stocks,
PET.WDISTP31.W,eia.mdist.stocks.P3,mdist,stocks,
PET.WDISTP41.W,eia.mdist.stocks.P4,mdist,stocks,
PET.WDISTP51.W,eia.mdist.stocks.P5,mdist,stocks,
PET.WDISTUS1.W,eia.mdist.stocks.us,mdist,stocks,dist
PET.W_EPD0_VSD_NUS_DAYS.W,eia.mdist.stocks.us.dayssupply,mdist,stocks,
PET.WD1ST_R10_1.W,eia.mdist.15to500ppm.stocks.P1,mdist.15to500ppm,stocks,
PET.WD1ST_R1X_1.W,eia.mdist.15to500ppm.stocks.P1a,mdist.15to500ppm,stocks,
PET.WD1ST_R1Y_1.W,eia.mdist.15to500ppm.stocks.P1b,mdist.15to500ppm,stocks,
PET.WD1ST_R1Z_1.W,eia.mdist.15to500ppm.stocks.P1c,mdist.15to500ppm,stocks,
PET.WD1ST_R20_1.W,eia.mdist.15to500ppm.stocks.P2,mdist.15to500ppm,stocks,
PET.WD1ST_R30_1.W,eia.mdist.15to500ppm.stocks.P3,mdist.15to500ppm,stocks,
PET.WD1ST_R40_1.W,eia.mdist.15to500ppm.stocks.P4,mdist.15to500ppm,stocks,
PET.WD1ST_R50_1.W,eia.mdist.15to500ppm.stocks.P5,mdist.15to500ppm,stocks,
PET.WD1ST_NUS_1.W,eia.mdist.15to500ppm.stocks.us,mdist.15to500ppm,stocks,
PET.WDGSTP11.W,eia.mdist.500ppm.stocks.P1,mdist.500ppm,stocks,
PET.WDGST1A1.W,eia.mdist.500ppm.stocks.P1a,mdist.500ppm,stocks,
PET.WDGST1B1.W,eia.mdist.500ppm.stocks.P1b,mdist.500ppm,stocks,
PET.WDGST1C1.W,eia.mdist.500ppm.stocks.P1c,mdist.500ppm,stocks,
PET.WDGSTP21.W,eia.mdist.500ppm.stocks.P2,mdist.500ppm,stocks,
PET.WDGSTP31.W,eia.mdist.500ppm.stocks.P3,mdist.500ppm,stocks,
PET.WDGSTP41.W,eia.mdist.500ppm.stocks.P4,mdist.500ppm,stocks,
PET.WDGSTP51.W,eia.mdist.500ppm.stocks.P5,mdist.500ppm,stocks,
PET.WDGSTUS1.W,eia.mdist.500ppm.stocks.us,mdist.500ppm,stocks,
PET.WKJSTP11.W,eia.mdist.jet.stocks.P1,mdist.jet,stocks,
PET.WKJSTP21.W,eia.mdist.jet.stocks.P2,mdist.jet,stocks,
PET.WKJSTP31.W,eia.mdist.jet.stocks.P3,mdist.jet,stocks,
