market,flowmonth,trade.cycle.end
canada,2016-12-01,2016-11-17
canada,2017-01-01,2016-12-14
canada,2017-02-01,2017-01-18
canada,2017-03-01,2017-02-15
canada,2017-04-01,2017-03-16
canada,2017-05-01,2017-04-17
canada,2017-06-01,2017-05-16
canada,2017-07-01,2017-06-16
canada,2017-08-01,2017-07-17
canada,2017-09-01,2017-08-17
canada,2017-10-01,2017-09-15
canada,2017-11-01,2017-10-17
canada,2017-12-01,2017-11-16
canada,2018-01-01,2017-12-15
canada,2018-02-01,2018-01-16
canada,2018-03-01,2018-02-13
canada,2018-04-01,2018-03-15
canada,2018-05-01,2018-04-13
canada,2018-06-01,2018-05-16
canada,2018-07-01,2018-06-14
canada,2018-08-01,2018-07-16
canada,2018-09-01,2018-08-16
canada,2018-10-01,2018-09-14
canada,2018-11-01,2018-10-16
canada,2018-12-01,2018-11-15
canada,2019-01-01,2018-12-13
canada,2019-02-01,2019-01-16
canada,2019-03-01,2019-02-13
canada,2019-04-01,2019-03-15
canada,2019-05-01,2019-04-15
canada,2019-06-01,2019-05-16
canada,2019-07-01,2019-06-14
canada,2019-08-01,2019-07-16
canada,2019-09-01,2019-08-15
canada,2019-10-01,2019-09-13
canada,2019-11-01,2019-10-16
canada,2019-12-01,2019-11-14
canada,2020-01-01,2019-12-13
canada,2020-02-01,2020-01-16
canada,2020-03-01,2020-02-13
canada,2020-04-01,2020-03-16
canada,2020-05-01,2020-04-16
canada,2020-06-01,2020-05-14
canada,2020-07-01,2020-06-15
canada,2020-08-01,2020-07-16
canada,2020-09-01,2020-08-17
canada,2020-10-01,2020-09-16
canada,2020-11-01,2020-10-16
canada,2020-12-01,2020-11-16
canada,2021-01-01,2020-12-14
canada,2021-02-01,2021-01-15
canada,2021-03-01,2021-02-11
canada,2021-04-01,2021-03-15
canada,2021-05-01,2021-04-16
canada,2021-06-01,2021-05-14
canada,2021-07-01,2021-06-14
canada,2021-08-01,2021-07-16
canada,2021-09-01,2021-08-17
canada,2021-10-01,2021-09-14
canada,2021-11-01,2021-10-15
canada,2021-12-01,2021-11-15
canada,2022-01-01,2021-12-14
canada,2022-02-01,2022-01-17
canada,2022-03-01,2022-02-11
canada,2022-04-01,2022-03-17
canada,2022-05-01,2022-04-15
canada,2022-06-01,2022-05-16
canada,2022-07-01,2022-06-14
canada,2022-08-01,2022-07-15
canada,2022-09-01,2022-08-17
canada,2022-10-01,2022-09-15
canada,2022-11-01,2022-10-17
canada,2022-12-01,2022-11-16
canada,2023-01-01,2022-12-13
canada,2023-02-01,2023-01-16
canada,2023-03-01,2023-02-13
canada,2023-04-01,2023-03-16
canada,2023-05-01,2023-04-14
canada,2023-06-01,2023-05-15
canada,2023-07-01,2023-06-15
canada,2023-08-01,2023-07-17
canada,2023-09-01,2023-08-16
canada,2023-10-01,2023-09-14
canada,2023-11-01,2023-10-16
canada,2023-12-01,2023-11-15
canada,2024-01-01,2023-12-12
canada,2024-02-01,2024-01-17
canada,2024-03-01,2024-02-15
canada,2024-04-01,2024-03-15
canada,2024-05-01,2024-04-15
canada,2024-06-01,2024-05-15
canada,2024-07-01,2024-06-14
canada,2024-08-01,2024-07-17
canada,2024-09-01,2024-08-15
canada,2024-10-01,2024-09-16
canada,2024-11-01,2024-10-16
canada,2024-12-01,2024-11-15
canada,2025-01-01,2024-12-13
